[xchg mov mov], 8
[mov mov mov], 3620
[mov mov lea], 88
[mov lea retn], 7
[mov mov push], 31
[mov push sub], 11
[push sub mov], 26
[sub mov mov], 29
[mov mov call], 71
[mov call mov], 111
[call mov mov], 96
[call mov test], 3
[mov test mov], 4
[test mov mov], 27
[mov mov cmovs], 4
[mov cmovs add], 3
[cmovs add pop], 3
[add pop retn], 13
[mov push push], 29
[push push push], 87
[push push lea], 6
[push lea mov], 1
[lea mov call], 44
[mov call sub], 1
[call sub movaps], 1
[sub movaps movaps], 3
[movaps movaps movaps], 8
[movaps movaps mov], 16
[movaps mov xor], 4
[mov xor mov], 85
[xor mov mov], 59
[mov lea mov], 145
[lea mov mov], 73
[mov mov nop], 33
[mov nop cmp], 8
[nop cmp ja], 10
[cmp ja lea], 2
[ja lea mov], 2
[lea mov add], 4
[mov add jmp], 39
[add jmp xor], 2
[jmp xor mov], 4
[mov mov test], 32
[mov test jz], 69
[test jz sub], 65
[jz sub jz], 82
[sub jz cmp], 76
[jz cmp jnz], 78
[cmp jnz mov], 74
[jnz mov mov], 30
[mov mov jmp], 201
[mov jmp mov], 268
[jmp mov jmp], 74
[jmp mov mov], 211
[mov nop mov], 32
[nop mov test], 30
[mov jmp movsd], 3
[jmp movsd mov], 3
[movsd mov mov], 9
[call mov xor], 20
[mov jmp test], 20
[jmp test mov], 26
[mov mov cmovnz], 16
[mov cmovnz jmp], 19
[cmovnz jmp mov], 14
[mov mov movsd], 4
[mov movsd lea], 3
[movsd lea movups], 1
[lea movups mov], 7
[movups mov mov], 10
[mov mov movups], 13
[mov movups mov], 7
[movups mov xor], 1
[xor mov nop], 7
[mov nop lea], 5
[nop lea cmp], 7
[lea cmp ja], 15
[cmp ja mov], 37
[ja mov add], 36
[add jmp mov], 35
[jmp mov add], 16
[mov add cmp], 15
[add cmp jnb], 15
[cmp jnb inc], 5
[jnb inc mov], 5
[inc mov mov], 9
[jnz mov lea], 16
[mov lea add], 4
[lea add mov], 1
[add mov mov], 4
[cmovnz jmp cmp], 1
[jmp cmp mov], 45
[cmp mov mov], 35
[mov mov cmovnb], 13
[mov cmovnb jmp], 15
[cmovnb jmp mov], 10
[jmp mov lea], 45
[lea mov lea], 48
[mov lea call], 28
[lea call mov], 37
[mov movups movups], 18
[movups movups movsd], 11
[movups movsd jmp], 4
[movsd jmp movups], 1
[jmp movups movups], 3
[movsd jmp movaps], 1
[jmp movaps movups], 1
[movaps movups movups], 1
[movups movups movups], 21
[movups movsd mov], 1
[mov mov xchg], 5
[mov xchg mov], 5
[xchg mov test], 4
[mov lea nop], 2
[lea nop cmp], 1
[mov lea movzx], 1
[lea movzx mov], 1
[movzx mov call], 1
[mov call add], 8
[call add mov], 1
[add mov xor], 1
[mov xor jmp], 8
[xor jmp mov], 12
[mov lea xor], 6
[lea xor mov], 4
[xor mov call], 8
[xor jmp cmp], 1
[mov mov cmp], 13
[mov cmp ja], 9
[add jmp cmp], 4
[mov mov cmovz], 19
[mov cmovz jmp], 24
[cmovz jmp cmp], 4
[mov jmp add], 1
[jmp add mov], 1
[add mov jmp], 5
[mov jmp cmp], 32
[cmp mov cmovnz], 1
[cmovnz jmp lea], 3
[jmp lea mov], 28
[lea mov jmp], 18
[call mov lea], 26
[movups movsd movsd], 2
[movsd movsd movups], 2
[movsd movups call], 1
[movups call mov], 11
[mov jmp movups], 2
[jmp movups mov], 2
[movups mov movsd], 1
[mov movsd movq], 1
[movsd movq mov], 1
[movq mov mov], 2
[movsd jmp mov], 2
[mov mov xor], 48
[mov mov neg], 4
[mov neg sbb], 8
[neg sbb and], 6
[sbb and jmp], 7
[and jmp mov], 5
[mov jmp xor], 3
[mov xor call], 14
[xor call mov], 12
[mov jmp lea], 32
[jmp lea call], 7
[cmovz jmp mov], 16
[jmp mov neg], 4
[neg sbb add], 2
[sbb add jmp], 2
[jmp mov xor], 19
[xor call lea], 3
[call lea mov], 11
[lea mov movaps], 5
[mov movaps movaps], 12
[movaps mov pop], 10
[mov pop pop], 13
[pop pop pop], 87
[pop pop retn], 29
[pop retn call], 8
[push push sub], 23
[sub mov xor], 5
[lea mov xor], 15
[mov xor nop], 3
[xor nop lea], 2
[cmp jnb mov], 10
[jnb mov inc], 10
[mov inc mov], 13
[inc mov jmp], 14
[lea add lea], 1
[add lea mov], 1
[mov lea lea], 9
[lea lea mov], 6
[lea call movsd], 1
[call movsd lea], 5
[movsd lea mov], 7
[lea mov xorps], 1
[mov xorps call], 2
[xorps call inc], 1
[call inc mov], 3
[cmp mov cmovb], 1
[mov cmovb jmp], 1
[cmovb jmp mov], 1
[call mov add], 6
[mov add pop], 20
[add pop pop], 16
[push lea sub], 6
[lea sub mov], 3
[lea mov nop], 5
[xor mov jmp], 14
[xchg mov sub], 2
[mov sub jz], 11
[sub jz sub], 17
[jnz mov jmp], 13
[cmovnb jmp lea], 2
[mov lea movsd], 5
[lea movsd movsd], 1
[movsd movsd call], 2
[movsd call mov], 2
[mov xor lea], 6
[xor lea cmp], 2
[jnz mov xor], 5
[xor mov xor], 1
[cmp mov cmovz], 5
[call mov jmp], 22
[mov mov pop], 3
[movaps mov mov], 9
[nop mov sub], 4
[cmp jnz movaps], 2
[jnz movaps add], 1
[movaps add retn], 1
[add retn mov], 1
[retn mov jmp], 3
[mov mov sub], 6
[mov jmp movaps], 1
[jmp movaps lea], 3
[movaps lea mov], 16
[mov call movaps], 5
[call movaps lea], 6
[mov lea cmp], 4
[mov add mov], 9
[mov jmp imul], 1
[jmp imul mov], 1
[imul mov mov], 1
[jmp lea lea], 2
[lea lea call], 4
[lea add jmp], 2
[mov mov shl], 2
[mov shl mov], 2
[shl mov jmp], 2
[cmovnz jmp test], 1
[cmovz jmp lea], 1
[lea call xor], 1
[call xor mov], 8
[mov lea jmp], 4
[lea jmp mov], 8
[mov jmp movsxd], 4
[jmp movsxd sar], 5
[movsxd sar and], 5
[sar and mov], 3
[and mov jmp], 1
[jmp mov call], 10
[lea xor lea], 1
[xor lea xor], 1
[mov mov add], 16
[jnz mov add], 2
[mov add retn], 1
[add retn xor], 1
[retn xor jmp], 2
[mov mov dec], 2
[mov dec mov], 2
[dec mov imul], 2
[mov imul jmp], 2
[push sub movaps], 5
[sub movaps mov], 6
[movaps mov movaps], 7
[mov movaps mov], 11
[lea movsd mov], 6
[mov movsd mov], 3
[xor mov xorps], 1
[mov xorps test], 1
[xorps test js], 1
[test js cvtsi2sd], 1
[js cvtsi2sd jmp], 1
[cvtsi2sd jmp mov], 1
[mov mov shr], 2
[mov shr and], 2
[shr and or], 1
[and or cvtsi2sd], 1
[or cvtsi2sd addsd], 1
[cvtsi2sd addsd cmp], 1
[addsd cmp ja], 1
[mov mov cmova], 1
[mov cmova jmp], 1
[cmova jmp movaps], 1
[jmp movaps call], 1
[movaps call call], 1
[call call movaps], 1
[call movaps movaps], 1
[movaps movaps call], 3
[movaps call movaps], 1
[call movaps mov], 1
[movaps mov jmp], 1
[jmp xor movaps], 1
