[call lea pop], 1
[lea pop lfence], 1
[pop lfence jmp], 26
[mov mov push], 13
[mov push push], 8
[push push push], 30
[push push sub], 8
[push sub call], 16
[sub call mov], 12
[call mov lea], 26
[mov lea mov], 34
[lea mov mov], 24
[mov mov call], 17
[mov call mov], 31
[call mov mov], 27
[mov mov mov], 117
[mov mov lfence], 76
[mov lfence mov], 135
[lfence mov lfence], 98
[mov lfence call], 105
[lfence call test], 22
[call test mov], 1
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop lfence], 20
[pop lfence pop], 57
[lfence pop lfence], 57
[lea mov call], 22
[mov call xor], 5
[call xor mov], 7
[xor mov mov], 17
[lfence call add], 3
[call add pop], 4
[lfence call mov], 59
[call mov call], 3
[mov push sub], 12
[call mov lfence], 81
[mov lfence lea], 40
[lfence lea mov], 25
[lea mov xor], 5
[mov xor mov], 21
[xor mov lea], 3
[mov lea xor], 5
[lea xor xor], 2
[xor xor mov], 4
[xor mov lfence], 15
[call test js], 3
[test js mov], 4
[js mov mov], 1
[mov lfence nop], 2
[lfence nop cmp], 1
[nop cmp lfence], 2
[cmp lfence lea], 2
[lfence lea jnz], 2
[lea jnz lea], 2
[jnz lea mov], 8
[mov lfence add], 10
[lfence add pop], 10
[lfence jmp lea], 1
[jmp lea call], 1
[lea call mov], 35
[lfence mov mov], 37
[call mov test], 8
[mov test jnz], 7
[test jnz lea], 11
[lea mov lfence], 32
[lfence jmp mov], 2
[jmp mov lfence], 12
[mov lfence xor], 24
[lfence xor mov], 19
[xor mov xor], 8
[mov mov xor], 6
[mov lfence test], 20
[lfence test jz], 18
[test jz test], 2
[jz test jnz], 1
[test jnz mov], 8
[jnz mov mov], 9
[mov lea call], 30
[lea call lea], 5
[call lea mov], 12
[mov mov lea], 13
[mov push lea], 3
[push lea sub], 5
[lea sub mov], 2
[sub mov lfence], 2
[xor mov call], 7
[call xor lea], 5
[xor lea mov], 13
[mov call lea], 4
[call lea call], 4
[lea call xor], 9
[mov call movups], 3
[call movups lfence], 7
[movups lfence mov], 14
[lfence mov movaps], 1
[mov movaps xorps], 1
[movaps xorps movups], 1
[xorps movups movups], 1
[movups movups movups], 11
[movups movups mov], 5
[movups mov lfence], 7
[lfence call lea], 5
[lea mov nop], 1
[mov nop cmp], 1
[jnz lea lea], 1
[lea lea lea], 15
[lea lea call], 7
[lea mov lea], 16
[lfence mov lea], 6
[lfence call nop], 4
[call nop cmp], 1
[nop cmp jnz], 1
[cmp jnz lea], 2
[jnz lea call], 9
[lfence xor call], 3
[xor call lea], 2
[lfence mov pop], 6
[mov pop lfence], 6
[sub call xor], 5
[mov mov test], 7
[mov test jz], 17
[test jz cmp], 3
[jz cmp ja], 2
[cmp ja mov], 3
[ja mov jmp], 2
[mov jmp xorps], 2
[jmp xorps test], 2
[xorps test js], 2
[test js cvtsi2sd], 2
[js cvtsi2sd jmp], 2
[cvtsi2sd jmp mov], 2
[jmp mov and], 1
[mov and shr], 1
[and shr or], 1
[shr or cvtsi2sd], 1
[or cvtsi2sd addsd], 2
[cvtsi2sd addsd call], 1
[addsd call call], 1
[call call movaps], 3
[call movaps movsd], 3
[movaps movsd lfence], 3
[movsd lfence call], 4
[lfence call movsd], 4
[call movsd lfence], 5
[movsd lfence xor], 4
[lfence xor comisd], 3
[xor comisd jb], 3
[comisd jb subsd], 3
[jb subsd comisd], 3
[subsd comisd jnb], 3
[comisd jnb mov], 3
[jnb mov mov], 3
[mov mov cvttsd2si], 3
[mov cvttsd2si add], 3
[cvttsd2si add mov], 2
[add mov imul], 1
[mov imul mov], 1
[imul mov mov], 1
[call mov xor], 6
[mov lea cmp], 2
[lea cmp lfence], 2
[cmp lfence jnz], 11
[lfence jnz mov], 4
[jnz mov lfence], 8
[mov lfence imul], 3
[lfence imul lfence], 2
[imul lfence movups], 3
[lfence movups lfence], 43
[movups lfence movups], 76
[mov lfence movq], 3
[lfence movq movups], 2
[movq movups movups], 2
[movups movups call], 9
[movups call mov], 10
[test jz mov], 46
[jz mov lfence], 25
[lfence call movups], 3
[lfence movups movups], 30
[movups movups jmp], 3
[movups jmp mov], 3
[jmp mov mov], 6
[mov lfence dec], 2
[lfence dec mov], 1
[dec mov lfence], 1
[lfence imul add], 1
[imul add mov], 1
[add mov call], 2
[mov mov nop], 1
[mov nop inc], 1
[nop inc cmp], 2
[inc cmp lfence], 8
[mov mov inc], 5
[mov inc lea], 1
[inc lea call], 1
[lea call movups], 2
[mov lfence movups], 15
[movups movups lea], 1
[movups lea test], 1
[lea test jz], 1
[sub call movzx], 1
[call movzx xor], 1
[movzx xor lea], 1
[lfence mov inc], 5
[mov inc lfence], 3
[inc lfence mov], 2
[jz mov lea], 9
[lea xor mov], 1
[movups movups lfence], 19
[lfence movups movsd], 16
[movups movsd lfence], 17
[movsd lfence mov], 9
[mov lfence movsd], 9
[lfence movsd test], 2
[movsd test jnz], 2
[mov mov jmp], 3
[mov jmp mov], 4
[lfence test jnz], 4
[test jnz xor], 1
[jnz xor add], 1
[xor add pop], 2
[lfence mov xor], 1
[xor mov test], 3
[jz mov jmp], 1
[lfence mov add], 2
[mov add pop], 9
[jz test jz], 3
[call mov movups], 3
[mov movups lfence], 14
[lfence mov movsd], 3
[mov movsd inc], 1
[movsd inc cmp], 1
[lfence jnz nop], 1
[jnz nop test], 2
[nop test jz], 4
[test jz movzx], 3
[jz movzx lfence], 2
[movzx lfence cmp], 3
[lfence cmp jz], 2
[cmp jz cmp], 5
[jz cmp jz], 5
[cmp jz mov], 3
[jz mov mov], 13
[mov call nop], 2
[call nop inc], 1
[lfence jnz xor], 2
[jnz xor mov], 1
[test jz nop], 3
[jz nop movzx], 1
[nop movzx lfence], 1
[movzx lfence lea], 1
[mov lfence inc], 2
[lfence inc mov], 2
[inc mov lfence], 2
[inc lfence cmp], 1
[lfence cmp jb], 1
[cmp jb lea], 1
[jb lea mov], 1
[lfence jmp xorps], 1
[jmp xorps xor], 2
[xorps xor movups], 3
[xor movups movups], 3
[movups mov mov], 2
[mov mov add], 4
[push push lea], 3
[lea sub movaps], 1
[sub movaps movaps], 2
[movaps movaps mov], 1
[movaps mov lfence], 1
[mov mov movups], 9
[mov lea movups], 3
[lea movups mov], 1
[lfence movups mov], 2
[mov jmp xor], 2
[jmp xor mov], 1
[mov lfence xorps], 1
[lfence xorps movdqu], 1
[xorps movdqu mov], 1
[movdqu mov mov], 1
[mov inc cmp], 2
[lfence jnz lea], 3
[call lea movups], 2
[lea movups lfence], 15
[movups lfence movq], 4
[lfence movq test], 2
[movq test jz], 3
[mov call movsd], 1
[xor mov movsd], 1
[mov movsd movups], 2
[movsd movups movups], 1
[movups movups cmp], 1
[movups cmp jnz], 1
[cmp jnz mov], 9
[lfence lea lea], 4
[lea call imul], 1
[call imul lfence], 1
[lfence movq mov], 1
[movq mov mov], 3
[call nop test], 3
[lfence call movdqa], 2
[call movdqa movq], 1
[movdqa movq psrldq], 2
[movq psrldq movq], 3
[psrldq movq movq], 1
[movq movq mov], 1
[movq mov movdqa], 1
[mov movdqa mov], 1
[movdqa mov psrldq], 1
[mov psrldq movq], 2
[psrldq movq jmp], 2
[movq jmp mov], 2
[lea mov imul], 3
[mov imul lea], 1
[imul lea add], 1
[lea add call], 1
[add call add], 1
[call add lea], 1
[add lea cmp], 1
[lea cmp jb], 1
[cmp jb mov], 4
[jb mov lfence], 1
[lfence mov nop], 3
[mov nop xor], 1
[nop xor lea], 1
[movsd movups inc], 1
[movups inc cmp], 1
[lfence jnz test], 1
[jnz test jz], 2
[cmp jz xor], 1
[jz xor lea], 2
[xor lea lea], 1
[lea lea mov], 4
[mov inc mov], 2
[inc mov jmp], 1
[jmp xor lea], 1
[inc mov lea], 1
[mov add jz], 1
[add jz mov], 1
[lfence call cmp], 4
[call cmp jz], 3
[mov nop mov], 1
[nop mov lfence], 3
[mov lfence and], 1
[lfence and cmp], 1
[and cmp jnz], 4
[mov lfence movzx], 1
[lfence movzx lfence], 1
[lfence cmp jnz], 1
[cmp jnz nop], 1
