[lea pop lfence], 1
[pop lfence jmp], 22
[mov mov mov], 77
[mov mov push], 19
[mov push mov], 7
[push mov call], 10
[mov call sub], 19
[call sub lea], 2
[sub lea call], 2
[lea call mov], 48
[call mov lfence], 88
[mov lfence mov], 143
[lfence mov lfence], 82
[lfence mov mov], 58
[mov mov lfence], 103
[mov lfence call], 132
[lfence call test], 30
[call test mov], 1
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop lfence], 15
[pop lfence pop], 56
[lfence pop lfence], 56
[mov lfence xor], 33
[lfence xor mov], 25
[xor mov lfence], 11
[lfence call add], 2
[call add pop], 5
[mov push push], 12
[push push push], 24
[push push mov], 4
[call sub mov], 14
[sub mov lfence], 14
[mov lfence lea], 52
[lfence lea mov], 26
[lea mov mov], 26
[lfence call mov], 77
[call mov call], 2
[mov call xor], 5
[call xor mov], 3
[xor mov mov], 25
[lfence lea xor], 2
[lea xor lea], 1
[xor lea mov], 27
[lea mov xor], 6
[mov xor xor], 1
[xor xor mov], 2
[call test js], 4
[test js mov], 4
[js mov mov], 1
[lfence mov nop], 3
[mov nop cmp], 1
[nop cmp lfence], 2
[cmp lfence lea], 4
[lfence lea jnz], 4
[lea jnz mov], 1
[jnz mov lfence], 8
[mov mov call], 10
[mov call mov], 26
[call mov mov], 19
[mov lfence add], 4
[lfence add pop], 4
[lfence jmp lea], 1
[jmp lea call], 1
[lea call add], 1
[call mov test], 37
[mov test jnz], 41
[test jnz lea], 57
[jnz lea add], 1
[lea add pop], 1
[lfence jmp mov], 2
[jmp mov lfence], 6
[xor mov xor], 5
[mov xor mov], 12
[mov mov xor], 4
[lfence mov lea], 9
[mov lea mov], 57
[mov lfence test], 11
[lfence test jz], 10
[test jz test], 1
[jz test jnz], 1
[test jnz mov], 7
[jnz mov mov], 10
[call mov lea], 21
[mov lea call], 23
[lea call lea], 18
[call lea mov], 20
[mov push lea], 2
[push lea mov], 9
[lea mov call], 52
[mov xor lea], 9
[call xor lea], 14
[mov call lea], 19
[call lea call], 4
[lea call xor], 10
[mov call movups], 3
[call movups lfence], 25
[movups lfence mov], 40
[lfence mov movaps], 1
[mov movaps xorps], 1
[movaps xorps movups], 1
[xorps movups movups], 1
[movups movups movups], 18
[movups movups mov], 6
[movups mov lfence], 26
[lfence call lea], 5
[mov mov lea], 21
[lea mov cmp], 1
[mov cmp lfence], 1
[lea jnz lea], 3
[jnz lea lea], 1
[lea lea lea], 2
[lea lea call], 7
[lea mov lfence], 38
[lea mov lea], 24
[lfence lea lfence], 6
[lea lfence call], 7
[mov lea lfence], 1
[lfence call cmp], 5
[call cmp jnz], 1
[cmp jnz lea], 2
[jnz lea call], 53
[lfence xor call], 7
[xor call lea], 4
[lfence mov pop], 6
[mov pop lfence], 6
[push push lea], 8
[call sub xor], 3
[sub xor mov], 3
[lea mov movups], 11
[mov movups lfence], 23
[lfence mov movups], 6
[mov movups movups], 26
[movups movups lfence], 13
[movups lfence movups], 74
[lfence movups mov], 18
[mov mov test], 8
[call lea movups], 12
[lea movups lfence], 14
[lfence movups lfence], 39
[mov lfence movups], 11
[lfence movups psrldq], 6
[movups psrldq movq], 17
[psrldq movq movups], 13
[movq movups psrldq], 7
[psrldq movq mov], 5
[movq mov lea], 6
[mov lea imul], 5
[lea imul movups], 5
[imul movups add], 6
[movups add call], 5
[add call mov], 15
[lfence lea cmp], 5
[lea cmp jnz], 14
[cmp jnz mov], 21
[jnz mov lea], 11
[mov call imul], 10
[call imul movups], 14
[imul movups lfence], 14
[lfence mov movq], 14
[mov movq mov], 15
[movq mov movups], 14
[movups movups call], 15
[movups call test], 14
[call test jz], 24
[test jz mov], 39
[jz mov mov], 18
[lfence call movups], 15
[movups lfence movdqa], 7
[lfence movdqa movq], 8
[movdqa movq movups], 5
[movq movups lfence], 11
[movups lfence psrldq], 7
[lfence psrldq movq], 8
[psrldq movq movq], 10
[movq movq movdqa], 10
[movq movdqa psrldq], 12
[movdqa psrldq movq], 13
[psrldq movq lea], 11
[movq lea mov], 9
[lea mov imul], 10
[mov imul lea], 10
[imul lea add], 10
[lea add call], 10
[call lea cmp], 10
[add call xor], 2
[mov mov movups], 15
[mov movups mov], 9
[movups mov movups], 7
[lea call nop], 5
[call nop mov], 3
[nop mov lfence], 6
[add call movups], 7
[lea mov movq], 1
[mov movq movups], 1
[call nop nop], 2
[nop nop mov], 2
[mov lfence psrldq], 1
[mov mov movq], 1
[mov test jz], 9
[test jz cmp], 3
[jz cmp ja], 2
[cmp ja mov], 3
[ja mov jmp], 2
[mov jmp xorps], 2
[jmp xorps test], 2
[xorps test js], 2
[test js cvtsi2sd], 2
[js cvtsi2sd jmp], 2
[cvtsi2sd jmp mov], 2
[jmp mov and], 1
[mov and shr], 1
[and shr or], 1
[shr or cvtsi2sd], 1
[or cvtsi2sd addsd], 2
[cvtsi2sd addsd call], 2
[addsd call call], 2
[call call movaps], 2
[call movaps movsd], 2
[movaps movsd lfence], 2
[movsd lfence call], 2
[lfence call movsd], 2
[call movsd lfence], 2
[movsd lfence xor], 2
[lfence xor comisd], 2
[xor comisd jb], 2
[comisd jb subsd], 2
[jb subsd comisd], 2
[subsd comisd jnb], 2
[comisd jnb mov], 2
[jnb mov mov], 2
[mov mov cvttsd2si], 2
[mov cvttsd2si add], 2
[cvttsd2si add mov], 2
[add mov imul], 1
[mov imul mov], 1
[imul mov mov], 1
[call mov xor], 4
[xor mov call], 4
[call mov add], 3
[mov add pop], 9
[lea cmp lfence], 2
[cmp lfence jnz], 10
[lfence jnz mov], 4
[mov lfence imul], 2
[lfence imul lfence], 1
[imul lfence movups], 1
[mov lfence movq], 1
[lfence movq movups], 1
[movq movups movups], 1
[movups call mov], 3
[jz mov lfence], 12
[lfence movups movups], 9
[movups movups jmp], 2
[movups jmp mov], 2
[jmp mov mov], 4
[mov lfence dec], 1
[lfence dec mov], 1
[dec mov lfence], 1
[lfence imul add], 1
[imul add mov], 1
[add mov call], 2
[mov lfence nop], 2
[lfence nop inc], 1
[nop inc cmp], 7
[inc cmp lfence], 8
[mov lea inc], 1
[lea inc mov], 1
[inc mov call], 1
[movups movups lea], 1
[movups lea test], 1
[lea test jz], 1
[lfence lea lea], 6
[lea lea mov], 11
[call mov cmp], 1
[mov cmp jz], 4
[cmp jz mov], 2
[lfence nop movzx], 1
[nop movzx lfence], 1
[movzx lfence movzx], 1
[lfence movzx lfence], 1
[movzx lfence cmp], 1
[lfence cmp jnz], 1
[cmp jnz test], 1
[jnz test jz], 1
[jz cmp jnz], 1
[cmp jnz cmp], 4
[jnz cmp jnz], 2
[jnz cmp lfence], 1
[cmp lfence jz], 2
[lfence jz lea], 2
[jz lea mov], 2
[lea call test], 3
[call test lfence], 1
[test lfence jz], 1
[mov lfence jmp], 1
[call test jnz], 19
[test jnz imul], 1
[jnz imul lfence], 1
[imul lfence mov], 1
[xor call add], 2
[lea xor mov], 2
[lea call movups], 1
[mov lfence movdqa], 1
[movdqa movq psrldq], 12
[movq psrldq movq], 14
[psrldq movq nop], 1
[movq nop mov], 1
[lfence movups movdqa], 8
[movups movdqa movq], 8
[psrldq movq jmp], 4
[movq jmp mov], 4
[lfence movups lea], 1
[movups lea mov], 2
[add call add], 1
[call add cmp], 3
[add cmp jb], 3
[cmp jb movups], 1
[jb movups lfence], 1
[movups lfence xor], 3
[xor mov movups], 1
[lfence mov test], 3
[lea call imul], 4
[movups lfence movq], 4
[lfence movq psrldq], 2
[psrldq movq movdqa], 2
[psrldq movq dec], 2
[movq dec lea], 2
[dec lea imul], 4
[lea imul mov], 6
[imul mov add], 6
[mov add call], 6
[mov lea lea], 12
[lea mov nop], 2
[mov nop inc], 3
[lfence jnz lea], 2
[jnz lea mov], 7
[jz mov lea], 8
[jnz lea jmp], 2
[lea jmp mov], 3
[call cmp jz], 3
[cmp jz lea], 3
[jz lea call], 3
[lea lea xor], 1
[lfence lea inc], 1
[lea inc cmp], 1
[lfence jnz add], 4
[jnz add mov], 4
[add mov xor], 4
[lfence lea nop], 4
[lea nop inc], 3
[lea nop cmp], 1
[xor call mov], 4
[mov lfence xorps], 3
[lfence xorps mov], 2
[xorps mov lfence], 2
[lfence call movzx], 1
[call movzx lfence], 1
[movzx lfence xor], 1
[lfence xor cmp], 1
[xor cmp jnz], 1
[test jz jmp], 1
[jz jmp test], 1
[jmp test jnz], 1
[lea jmp xor], 1
[jmp xor lea], 1
[lfence mov call], 1
[lfence lea xchg], 1
[lea xchg cmp], 1
[xchg cmp lfence], 1
[movups movups psrldq], 1
[movq movups dec], 1
[movups dec psrldq], 1
[dec psrldq movq], 1
[psrldq movq imul], 5
[movq imul movups], 1
[movups add lfence], 1
[add lfence call], 1
[movq lea imul], 2
[jmp mov movups], 3
[lfence movups dec], 2
[movups dec lea], 2
[lfence xor lea], 2
[lfence movups call], 1
[lfence call xorps], 2
[call xorps mov], 2
[xorps mov lea], 2
[mov lea movups], 4
[lea movups mov], 2
[movups mov mov], 2
[lfence call xor], 1
[lfence xorps xor], 1
[xorps xor movups], 1
[xor movups movups], 1
[mov mov shr], 2
[mov shr and], 2
[shr and or], 1
[and or cvtsi2sd], 1
[add mov mov], 1
[mov mov movaps], 2
[mov movaps lea], 1
[movaps lea movups], 1
[mov movaps mov], 1
[movaps mov movups], 1
[movups lfence call], 1
[call cmp lfence], 1
[lfence jz mov], 1
[mov lea cmp], 1
[lfence movq call], 1
