[mov mov mov], 254
[mov mov push], 21
[mov push mov], 6
[push mov call], 12
[mov call sub], 23
[call sub lea], 2
[sub lea call], 2
[lea call mov], 55
[call mov mov], 54
[mov mov call], 70
[mov call test], 41
[call test mov], 2
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop retn], 13
[call mov xor], 18
[mov xor mov], 59
[xor mov mov], 51
[mov call add], 2
[call add pop], 8
[mov push push], 15
[push push push], 44
[push push mov], 7
[call sub mov], 19
[sub mov lea], 5
[mov lea mov], 77
[lea mov call], 53
[mov call mov], 74
[call mov call], 7
[mov call xor], 9
[call xor mov], 5
[add pop pop], 15
[pop pop pop], 46
[pop pop retn], 18
[mov lea xor], 6
[lea xor lea], 2
[xor lea mov], 20
[lea mov xor], 14
[mov xor xor], 2
[xor xor mov], 2
[xor mov call], 8
[call test js], 4
[test js mov], 4
[js mov mov], 3
[mov mov nop], 3
[mov nop cmp], 1
[nop cmp lea], 1
[cmp lea jnz], 7
[lea jnz mov], 2
[jnz mov lea], 11
[lea mov mov], 39
[mov mov add], 5
[mov add pop], 14
[pop retn lea], 1
[retn lea call], 1
[lea call add], 2
[sub mov mov], 6
[call mov test], 22
[mov test jnz], 9
[test jnz lea], 25
[jnz lea add], 5
[lea add pop], 1
[add pop jmp], 1
[pop jmp mov], 1
[jmp mov xor], 2
[xor mov xor], 10
[mov mov xor], 18
[mov mov lea], 57
[mov test jz], 35
[test jz test], 1
[jz test jnz], 1
[test jnz mov], 13
[jnz mov call], 6
[call mov lea], 44
[mov lea call], 57
[lea call lea], 13
[call lea mov], 12
[call mov add], 4
[mov push lea], 3
[push lea mov], 10
[sub mov xor], 11
[lea xor mov], 5
[call xor lea], 6
[mov call lea], 7
[call lea call], 4
[lea call xor], 3
[call mov xchg], 1
[mov xchg cmp], 1
[xchg cmp lea], 2
[lea jnz lea], 5
[jnz lea mov], 10
[lea call xorps], 4
[call xorps movups], 1
[xorps movups movups], 2
[movups movups movups], 41
[movups movups call], 20
[movups call lea], 3
[lea mov cmp], 1
[mov cmp lea], 3
[lea add lea], 1
[add lea lea], 1
[lea lea call], 11
[mov xor lea], 8
[xor lea lea], 1
[lea lea mov], 3
[lea mov lea], 24
[lea call cmp], 1
[call cmp jnz], 3
[cmp jnz lea], 14
[jnz lea call], 23
[mov xor call], 15
[xor call lea], 4
[mov mov pop], 2
[mov pop retn], 1
[mov mov inc], 4
[mov inc cmp], 4
[inc cmp jnz], 15
[cmp jnz mov], 20
[jnz mov add], 1
[mov add xor], 1
[add xor mov], 2
[call test jnz], 31
[lea add jmp], 1
[add jmp add], 1
[jmp add retn], 1
[mov mov test], 17
[test jz cmp], 5
[jz cmp ja], 3
[cmp ja mov], 4
[ja mov jmp], 3
[mov jmp xorps], 3
[jmp xorps test], 3
[xorps test js], 4
[test js cvtsi2sd], 4
[js cvtsi2sd jmp], 4
[cvtsi2sd jmp mov], 4
[jmp mov and], 1
[mov and shr], 1
[and shr or], 1
[shr or cvtsi2sd], 1
[or cvtsi2sd addsd], 4
[cvtsi2sd addsd call], 4
[addsd call call], 4
[call call movaps], 4
[call movaps movsd], 4
[movaps movsd call], 4
[movsd call movsd], 4
[call movsd xor], 4
[movsd xor comisd], 4
[xor comisd jb], 4
[comisd jb subsd], 4
[jb subsd comisd], 4
[subsd comisd jnb], 4
[comisd jnb mov], 4
[jnb mov mov], 4
[mov mov cvttsd2si], 4
[mov cvttsd2si add], 4
[cvttsd2si add mov], 3
[add mov imul], 1
[mov imul mov], 1
[imul mov call], 1
[lea call call], 4
[call call mov], 4
[mov lea cmp], 5
[lea cmp jnz], 4
[jnz mov mov], 12
[call mov imul], 3
[mov imul movups], 3
[imul movups movups], 5
[movups movups mov], 10
[movups mov movq], 7
[mov movq movups], 5
[movq movups movups], 4
