[lea pop lfence], 1
[pop lfence jmp], 21
[mov mov mov], 76
[mov mov push], 10
[mov push push], 5
[push push push], 12
[push push sub], 6
[push sub mov], 10
[sub mov lea], 3
[mov lea mov], 33
[lea mov call], 27
[mov call xor], 4
[call xor mov], 2
[xor mov mov], 25
[mov mov lfence], 68
[mov lfence mov], 105
[lfence mov lfence], 70
[mov lfence call], 80
[lfence call add], 3
[call add pop], 5
[add pop lfence], 16
[pop lfence pop], 39
[lfence pop lfence], 39
[lea mov mov], 23
[lfence call mov], 39
[call mov call], 4
[mov push sub], 10
[sub mov lfence], 10
[mov lfence lea], 40
[lfence lea mov], 20
[lea mov xor], 7
[mov xor mov], 13
[xor mov lea], 2
[mov lea xor], 4
[lea xor xor], 1
[xor xor mov], 2
[xor mov lfence], 5
[lfence call test], 29
[call test js], 4
[test js mov], 4
[js mov mov], 1
[mov lfence xchg], 1
[lfence xchg cmp], 1
[xchg cmp lfence], 1
[cmp lfence lea], 4
[lfence lea jnz], 4
[lea jnz lea], 4
[jnz lea mov], 9
[mov mov call], 6
[mov call mov], 29
[call mov mov], 19
[call mov lfence], 66
[mov lfence add], 9
[lfence add pop], 9
[lfence jmp lea], 1
[jmp lea call], 1
[lea call mov], 32
[lfence mov mov], 30
[call mov test], 5
[mov test jnz], 6
[test jnz lea], 22
[lea mov lfence], 35
[lfence jmp mov], 2
[jmp mov lfence], 5
[mov lfence xor], 28
[lfence xor mov], 18
[xor mov xor], 4
[mov mov xor], 4
[lfence mov lea], 6
[mov lfence test], 12
[lfence test jz], 11
[test jz test], 1
[jz test jnz], 1
[test jnz mov], 6
[jnz mov mov], 7
[call mov lea], 17
[mov lea call], 24
[lea call lea], 8
[call lea mov], 18
[mov mov lea], 21
[mov push lea], 4
[push lea sub], 5
[lea sub mov], 5
[mov xor lea], 10
[xor lea mov], 26
[call xor lea], 15
[mov call lea], 7
[call lea call], 4
[lea call xor], 11
[mov call movups], 2
[call movups lfence], 6
[movups lfence mov], 11
[lfence mov movaps], 1
[mov movaps xorps], 1
[movaps xorps movups], 1
[xorps movups movups], 1
[movups movups movups], 18
[movups movups mov], 6
[movups mov lfence], 5
[lfence call lea], 4
[lea mov nop], 2
[mov nop cmp], 1
[nop cmp lfence], 3
[jnz lea lea], 1
[lea lea lea], 11
[lea lea call], 8
[lea mov lea], 26
[lfence lea lfence], 5
[lea lfence call], 6
[mov lea lfence], 1
[lfence call cmp], 5
[call cmp jnz], 1
[cmp jnz lea], 2
[jnz lea call], 18
[lfence xor call], 7
[xor call lea], 3
[lfence mov pop], 4
[mov pop lfence], 4
[push sub xor], 5
[sub xor mov], 4
[mov mov test], 6
[mov test jz], 9
[test jz cmp], 3
[jz cmp ja], 2
[cmp ja mov], 3
[ja mov jmp], 2
[mov jmp xorps], 2
[jmp xorps test], 2
[xorps test js], 2
[test js cvtsi2sd], 2
[js cvtsi2sd jmp], 2
[cvtsi2sd jmp mov], 2
[jmp mov and], 1
[mov and shr], 1
[and shr or], 1
[shr or cvtsi2sd], 1
[or cvtsi2sd addsd], 2
[cvtsi2sd addsd call], 2
[addsd call call], 2
[call call movaps], 2
[call movaps movsd], 2
[movaps movsd lfence], 2
[movsd lfence call], 2
[lfence call movsd], 2
[call movsd lfence], 2
[movsd lfence xor], 2
[lfence xor comisd], 2
[xor comisd jb], 2
[comisd jb subsd], 2
[jb subsd comisd], 2
[subsd comisd jnb], 2
[comisd jnb mov], 2
[jnb mov mov], 2
[mov mov cvttsd2si], 2
[mov cvttsd2si add], 2
[cvttsd2si add mov], 2
[add mov imul], 1
[mov imul mov], 1
[imul mov mov], 1
[call mov xor], 4
[xor mov call], 3
[mov lea cmp], 2
[lea cmp lfence], 2
[cmp lfence jnz], 10
[lfence jnz mov], 4
[jnz mov lfence], 7
[mov lfence imul], 3
[lfence imul lfence], 2
[imul lfence movups], 2
[lfence movups lfence], 15
[movups lfence movups], 34
[mov lfence movq], 2
[lfence movq movups], 2
[movq movups movups], 2
[movups movups call], 7
[movups call mov], 10
[test jz mov], 27
[jz mov lfence], 14
[lfence call movups], 3
[lfence movups movups], 16
[movups movups jmp], 3
[movups jmp mov], 3
[jmp mov mov], 4
[mov lfence dec], 2
[lfence dec mov], 1
[dec mov lfence], 1
[lfence imul add], 1
[imul add mov], 1
[add mov call], 2
[mov mov inc], 2
[mov inc cmp], 2
[inc cmp lfence], 8
[mov inc lea], 1
[inc lea call], 1
[lea call movups], 1
[mov lfence movups], 4
[movups movups lea], 1
[movups lea test], 1
[lea test jz], 1
[lfence lea lea], 6
[lea lea mov], 13
[call mov cmp], 1
[mov cmp jz], 4
[cmp jz mov], 2
[mov lfence nop], 1
[lfence nop movzx], 1
[nop movzx lfence], 1
[movzx lfence movzx], 1
[lfence movzx lfence], 1
[movzx lfence cmp], 1
[lfence cmp jnz], 1
[cmp jnz test], 1
[jnz test jz], 1
[jz cmp jnz], 1
[cmp jnz cmp], 4
[jnz cmp jnz], 2
[jnz cmp lfence], 1
[cmp lfence jz], 2
[lfence jz lea], 2
[jz lea mov], 2
[lea call test], 4
[call test lfence], 1
[test lfence jz], 1
[mov lfence jmp], 1
[call test jnz], 19
[test jnz imul], 1
[jnz imul lfence], 1
[imul lfence mov], 1
[xor call add], 2
[mov lea lea], 23
[lea lea movups], 8
[lea movups lfence], 12
[movups movups lfence], 7
[lfence movups call], 6
[movups call xor], 2
[lea mov movups], 2
[mov movups lfence], 8
[movups call lea], 1
[lea mov inc], 1
[lfence jnz lea], 2
[jz mov lea], 8
[call test jz], 11
[jz mov mov], 4
[lfence mov psrldq], 1
[mov psrldq movq], 1
[psrldq movq mov], 1
[movq mov lfence], 1
[jnz lea jmp], 2
[lea jmp mov], 3
[call cmp jz], 3
[cmp jz lea], 3
[jz lea call], 3
[push push lea], 2
[lea lea xor], 1
[lea xor mov], 1
[lfence lea inc], 3
[lea inc cmp], 2
[lfence jnz add], 4
[jnz add mov], 4
[add mov xor], 4
[lfence lea nop], 4
[lea nop inc], 2
[nop inc cmp], 4
[lea nop cmp], 2
[xor call mov], 5
[mov lfence xorps], 2
[lfence xorps mov], 2
[xorps mov mov], 1
[lfence call movzx], 1
[call movzx lfence], 1
[movzx lfence xor], 1
[lfence xor cmp], 1
[xor cmp jnz], 1
[cmp jnz mov], 8
[test jz jmp], 1
[jz jmp test], 1
[jmp test jnz], 1
[xorps mov lfence], 1
[lfence movups mov], 1
[movups mov movups], 1
[mov movups movups], 4
[lea jmp xor], 1
[jmp xor lea], 1
[lfence mov call], 1
[lfence call xorps], 2
[call xorps mov], 2
[xorps mov lea], 2
[mov lea movups], 3
[lea movups mov], 2
[movups mov mov], 3
[mov mov movups], 7
[lfence call xor], 1
[sub mov mov], 4
[mov mov nop], 1
[mov nop inc], 2
[test jnz xorps], 1
[jnz xorps xor], 1
[xorps xor movups], 1
[xor movups movups], 1
[mov mov shr], 2
[mov shr and], 2
[shr and or], 1
[and or cvtsi2sd], 1
[add mov mov], 1
[mov mov movaps], 2
[mov movaps lea], 1
[movaps lea movups], 1
[mov movaps mov], 1
[movaps mov movups], 1
[movups lfence call], 2
[call cmp lfence], 1
[lfence jz mov], 1
[lea cmp jnz], 1
[movups lfence movq], 2
[lfence movq call], 1
[movq call test], 1
[lfence call movdqa], 1
[call movdqa psrldq], 1
[movdqa psrldq movq], 1
[psrldq movq jmp], 1
[movq jmp mov], 1
[jmp mov movups], 1
[movups lfence dec], 1
[lfence dec lea], 1
[dec lea movdqa], 1
[lea movdqa movq], 1
[movdqa movq psrldq], 1
[movq psrldq movq], 1
[psrldq movq imul], 1
[movq imul add], 1
[imul add call], 1
[add call mov], 1
[lfence movups movaps], 2
[movups movaps lfence], 2
[movaps lfence movups], 1
[movaps lfence mov], 2
[mov mov add], 3
[mov add pop], 7
[push lea mov], 1
[mov call sub], 1
[call sub mov], 1
[lfence xor xor], 1
[xor xor lfence], 1
[xor lfence call], 2
[lea call jmp], 4
[call jmp mov], 4
[jmp mov lea], 2
[lea xor movaps], 1
[xor movaps mov], 1
[movaps mov call], 1
[call xor xorps], 1
[xor xorps mov], 1
[xorps mov movups], 1
[mov movups jmp], 1
[movups jmp xorps], 1
[jmp xorps movaps], 1
[xorps movaps movdqu], 1
[movaps movdqu mov], 1
[movdqu mov lea], 1
[call lea movups], 1
[lfence movq test], 1
[movq test jz], 1
[call movups mov], 1
[movups mov movaps], 1
[mov movaps lfence], 1
[movaps lfence movsd], 1
[lfence movsd lfence], 2
[movsd lfence movq], 1
[lfence movq movaps], 1
[movq movaps lfence], 1
[lfence mov movsd], 1
[mov movsd movzx], 1
[movsd movzx lfence], 1
[movzx lfence test], 2
[jz mov cmp], 2
[cmp jz cmp], 3
[jz cmp jz], 3
[cmp jz add], 2
[jz add jmp], 1
[add jmp lea], 1
[jmp lea mov], 2
[lea mov movzx], 1
[mov movzx lfence], 1
[lfence test jnz], 3
[lfence lea call], 1
[lfence movups movsd], 1
[movups movsd lfence], 1
[movsd lfence movsd], 2
[lfence movsd movups], 1
[movsd movups call], 1
[lfence mov inc], 2
[mov inc movzx], 2
[inc movzx lfence], 2
[movzx lfence mov], 2
[lfence mov nop], 1
[mov nop lea], 1
[nop lea mov], 1
[lfence mov test], 2
[lfence xor lfence], 1
[call test jns], 2
[test jns mov], 2
[jns mov lea], 2
[js mov lfence], 3
[lfence call jmp], 2
[call jmp lea], 1
[jmp lea jmp], 1
[lea jmp lea], 1
[lea xor lea], 1
[xor lea movups], 1
[lfence mov xor], 2
[mov xor movups], 1
[xor movups lfence], 1
[cmp jz test], 2
[jz test jz], 2
[mov lfence movsd], 1
[lfence movsd test], 1
[movsd test jnz], 1
[call jmp movups], 1
[jmp movups lfence], 1
[lea inc mov], 1
[inc mov psrldq], 1
[mov psrldq mov], 1
[psrldq mov movq], 1
[mov movq mov], 1
[movq mov xor], 1
[test jz lea], 1
[movups call movups], 1
[lfence xor test], 1
[xor test jz], 1
[lfence lea cmp], 1
[lfence dec imul], 1
[dec imul add], 1
[imul add lfence], 1
[add lfence call], 1
[lfence call inc], 1
[call inc cmp], 1
[inc cmp jb], 1
[cmp jb mov], 3
[jb mov lea], 1
[mov push mov], 1
[push mov sub], 1
[mov sub mov], 1
[mov mov cmp], 5
[mov cmp jnz], 5
[mov xor call], 3
[lea xor call], 1
[mov lea shl], 1
[lea shl xor], 1
[shl xor xor], 1
[xor xor xor], 1
[xor mov and], 1
[mov and mov], 3
[and mov cmp], 3
[mov cmp cmovz], 1
[cmp cmovz mov], 1
[cmovz mov mov], 1
[mov mov not], 1
[mov not mov], 1
[not mov add], 1
[add pop retn], 6
[mov call test], 1
[jz mov int], 1
[mov int mov], 1
[int mov call], 1
[xor call test], 2
[lea mov add], 1
[mov add mov], 1
[test jnz cmp], 1
[jnz cmp jz], 1
[call mov add], 1
[sub xor call], 1
[cmp jnz movsxd], 1
[jnz movsxd cmp], 1
[movsxd cmp jnz], 1
[jnz mov cmp], 2
[jnz cmp jbe], 1
[cmp jbe cmp], 2
[jbe cmp setnz], 1
[cmp setnz jmp], 1
[setnz jmp xor], 1
[jmp xor add], 1
[xor add retn], 1
[jz lea cmp], 1
[lea cmp jbe], 1
[jbe cmp jz], 1
[jz mov xor], 1
[mov xor add], 1
[xor add pop], 1
[pop retn call], 1
[retn call mov], 1
[push sub lea], 2
[sub lea lea], 2
[lea lea jmp], 2
[jmp mov test], 2
[test jz call], 2
[jz call add], 2
[call add cmp], 2
[add cmp jb], 2
[jb mov add], 2
[sub xor xor], 1
[xor xor cpuid], 1
[xor cpuid xor], 1
[cpuid xor xor], 1
[xor xor or], 1
[xor or mov], 1
[or mov mov], 3
[mov xor or], 1
[xor or lea], 1
[or lea cpuid], 1
[lea cpuid mov], 2
[cpuid mov jnz], 1
[mov jnz and], 1
[jnz and mov], 1
[and mov mov], 4
[jz add cmp], 1
[add cmp ja], 1
[ja mov bt], 1
[mov bt jnb], 9
[bt jnb mov], 4
[jnb mov or], 1
[mov or mov], 2
[or mov jmp], 1
[mov jmp mov], 2
[jmp mov xor], 1
[mov cmp jl], 3
[cmp jl lea], 1
[jl lea xor], 1
[lea xor cpuid], 1
[xor cpuid mov], 2
[cpuid mov mov], 3
[mov mov bt], 3
[bt jnb or], 1
[jnb or mov], 1
[or mov cmp], 1
[cmp jl mov], 1
[jl mov lea], 1
[mov lea cpuid], 1
[cmp jl xor], 1
[jl xor cpuid], 1
[mov mov and], 3
[bt jnb and], 1
[jnb and mov], 1
[bt jnb xor], 1
[jnb xor xgetbv], 1
[xor xgetbv shl], 1
[xgetbv shl or], 1
[shl or mov], 1
[or mov bt], 1
[jnb mov and], 2
