[call lea retn], 1
[mov mov mov], 211
[mov mov push], 20
[mov push sub], 10
[push sub call], 10
[sub call lea], 2
[call lea call], 5
[lea call mov], 48
[call mov mov], 68
[mov mov call], 81
[mov call test], 28
[call test mov], 1
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop retn], 14
[call mov xor], 15
[mov xor mov], 41
[xor mov mov], 29
[mov call add], 3
[call add pop], 5
[mov push push], 14
[push push push], 38
[push push sub], 6
[sub call mov], 10
[call mov lea], 40
[mov lea mov], 76
[lea mov call], 49
[mov call mov], 89
[call mov call], 9
[mov call xor], 4
[call xor mov], 5
[add pop pop], 12
[pop pop pop], 39
[pop pop retn], 16
[call mov test], 57
[mov test jnz], 45
[test jnz lea], 48
[jnz lea add], 1
[lea add pop], 1
[add pop jmp], 1
[pop jmp mov], 1
[jmp mov xor], 2
[xor mov xor], 7
[mov mov xor], 12
[mov mov lea], 45
[lea mov mov], 32
[mov test jz], 40
[test jz test], 2
[jz test jnz], 1
[test jnz mov], 8
[jnz mov call], 3
[mov lea call], 44
[lea call lea], 25
[call lea mov], 15
[call mov add], 4
[mov add pop], 15
[mov push lea], 2
[push lea sub], 10
[lea sub mov], 3
[sub mov xor], 4
[xor mov call], 14
[mov lea xor], 8
[lea xor mov], 3
[call xor lea], 6
[xor lea mov], 12
[lea xor lea], 1
[lea mov xor], 9
[mov xor xor], 1
[xor xor mov], 3
[call test js], 4
[test js mov], 5
[js mov mov], 4
[mov mov nop], 7
[mov nop cmp], 1
[nop cmp lea], 1
[cmp lea jnz], 2
[lea jnz lea], 2
[jnz lea mov], 13
[call mov jmp], 1
[mov jmp lea], 1
[jmp lea call], 2
[lea call xor], 4
[mov call movups], 15
[call movups mov], 8
[movups mov mov], 13
[mov mov movaps], 7
[mov movaps xorps], 1
[movaps xorps movups], 1
[xorps movups movups], 1
[movups movups movups], 39
[movups movups call], 26
[movups call lea], 1
[lea mov cmp], 1
[mov cmp lea], 1
[jnz lea lea], 1
[lea lea lea], 3
[lea lea call], 5
[lea mov lea], 15
[mov mov cmp], 7
[mov cmp jnz], 8
[cmp jnz lea], 13
[jnz lea call], 47
[mov xor call], 9
[xor call add], 3
[push push lea], 9
[lea sub call], 5
[sub call xor], 3
[lea mov movups], 12
[mov movups mov], 31
[movups mov movups], 23
[mov movups movups], 26
[movups call mov], 13
[mov mov test], 18
[mov call lea], 18
[call lea movups], 19
[lea movups movups], 20
[movups movups mov], 28
[mov movups psrldq], 5
[movups psrldq movq], 21
[psrldq movq movups], 13
[movq movups psrldq], 11
[psrldq movq mov], 7
[movq mov lea], 6
[mov lea imul], 7
[lea imul movups], 5
[imul movups add], 5
[movups add call], 5
[add call mov], 18
[mov lea cmp], 7
[lea cmp jnz], 18
[cmp jnz mov], 29
[jnz mov lea], 14
[mov call imul], 10
[call imul movups], 18
[imul movups movups], 20
[movups mov movq], 19
[mov movq mov], 18
[movq mov movups], 11
[movups call test], 12
[call test jz], 30
[test jz mov], 55
[jz mov call], 27
[call movups movdqa], 5
[movups movdqa movq], 14
[movdqa movq movups], 5
[psrldq movq movq], 14
[movq movq movdqa], 11
[movq movdqa psrldq], 13
[movdqa psrldq movq], 15
[psrldq movq lea], 8
[movq lea mov], 7
[lea mov imul], 13
[mov imul lea], 12
[imul lea add], 12
[lea add call], 12
[call lea cmp], 10
[add call xor], 3
[mov mov movups], 20
[mov movups call], 3
[lea call nop], 6
[call nop mov], 5
[nop mov mov], 7
[add call movups], 6
[movups mov lea], 7
[lea mov movq], 1
[mov movq movups], 2
[movq movups mov], 2
[call nop nop], 1
[nop nop mov], 1
[movups mov psrldq], 2
[mov psrldq movq], 2
[call movups lea], 1
[movups lea mov], 5
[mov mov movq], 1
[movq mov mov], 6
[mov mov pop], 3
[mov pop pop], 5
[test jz cmp], 5
[jz cmp ja], 2
[cmp ja mov], 3
[ja mov jmp], 2
[mov jmp xorps], 2
[jmp xorps test], 2
[xorps test js], 2
[test js cvtsi2sd], 2
[js cvtsi2sd jmp], 2
[cvtsi2sd jmp mov], 2
[jmp mov and], 1
[mov and shr], 1
[and shr or], 1
[shr or cvtsi2sd], 1
[or cvtsi2sd addsd], 2
[cvtsi2sd addsd call], 2
[addsd call call], 2
[call call movaps], 2
[call movaps movsd], 2
[movaps movsd call], 2
[movsd call movsd], 2
[call movsd xor], 3
[movsd xor comisd], 2
[xor comisd jb], 2
[comisd jb subsd], 2
[jb subsd comisd], 2
[subsd comisd jnb], 2
[comisd jnb mov], 2
[jnb mov mov], 2
[mov mov cvttsd2si], 2
[mov cvttsd2si add], 2
[cvttsd2si add mov], 2
[add mov imul], 1
[mov imul mov], 1
[imul mov call], 1
[lea call call], 2
[call call mov], 4
[jnz mov mov], 14
[call mov imul], 2
[mov imul movups], 2
[movq movups movups], 2
[test jz call], 19
[jz call movups], 2
[call movups movups], 9
[movups movups jmp], 3
[movups jmp mov], 3
[jmp mov mov], 11
[lea mov dec], 3
[mov dec imul], 3
[dec imul add], 3
[imul add call], 10
[mov mov movzx], 1
[mov movzx mov], 1
[movzx mov inc], 1
[mov inc add], 1
[inc add pop], 1
[jz mov mov], 15
[xor mov movaps], 1
[mov movaps movaps], 6
[movaps movaps mov], 6
[movaps mov mov], 5
[mov nop inc], 4
[nop inc cmp], 5
[inc cmp jnz], 14
[movups movups movq], 11
[movups movq test], 6
[movq test jz], 6
[call mov movsd], 2
[mov movsd mov], 4
[movsd mov mov], 2
[mov movups movaps], 3
[movups movaps movups], 3
[movaps movups movaps], 3
[movups movaps movsd], 2
[movaps movsd test], 1
[movsd test jnz], 2
[mov mov jmp], 4
[mov jmp mov], 6
[mov mov add], 7
[pop retn add], 1
[retn add pop], 1
[test jnz xor], 1
[jnz xor add], 1
[xor add pop], 2
[pop retn mov], 3
[retn mov mov], 1
[xor mov test], 3
[jz mov jmp], 2
[jz call mov], 13
[jz test jz], 3
[jz mov xor], 3
[movaps movaps xchg], 1
[movaps xchg inc], 1
[xchg inc cmp], 1
[mov mov movsd], 2
[movaps movsd inc], 1
[movsd inc cmp], 1
[cmp jnz test], 5
[jnz test jz], 6
[test jz movzx], 4
[jz movzx cmp], 2
[movzx cmp jz], 2
[cmp jz cmp], 5
[jz cmp jz], 6
[cmp jz mov], 8
[mov call inc], 2
[call inc cmp], 2
[jz movzx mov], 2
[movzx mov call], 1
[inc cmp jb], 1
[cmp jb xor], 1
[jb xor mov], 1
[retn mov xorps], 1
[mov xorps xor], 2
[xorps xor movups], 2
[xor movups movups], 2
[movups mov add], 1
[mov mov inc], 3
[mov inc cmp], 3
[movups movq movups], 1
[movups movups test], 1
[movups test jz], 1
[mov movups movsd], 2
[movups movsd movsd], 1
[movsd movsd movups], 1
[movsd movups nop], 1
[movups nop inc], 1
[jz mov lea], 10
[lea call xchg], 1
[call xchg mov], 1
[xchg mov lea], 2
[lea call imul], 8
[movups movq mov], 1
[movups movups psrldq], 1
[mov add jz], 1
[add jz mov], 1
[mov call cmp], 4
[call cmp jnz], 1
[lea sub movaps], 1
[sub movaps movaps], 1
[movaps mov xor], 1
[mov jmp xor], 1
[jmp xor mov], 1
[xor mov xorps], 1
[mov xorps movdqu], 1
[xorps movdqu mov], 1
[movdqu mov mov], 1
[mov call movsd], 4
[movsd xor mov], 1
[xor mov movsd], 1
[mov movsd movups], 1
[movsd movups movups], 1
[movups movups cmp], 1
[movups cmp jnz], 1
[mov lea lea], 9
[mov call movdqa], 7
[call movdqa movq], 4
[movdqa movq psrldq], 16
[movq psrldq movq], 19
[movq movq mov], 1
[movq mov movdqa], 1
[mov movdqa mov], 1
[movdqa mov psrldq], 1
[psrldq movq jmp], 5
[movq jmp mov], 5
[jmp mov inc], 1
[mov inc mov], 2
[inc mov lea], 1
[add call add], 4
[call add lea], 2
[add lea cmp], 2
[lea cmp jb], 2
[cmp jb mov], 3
[jb mov cmp], 1
[mov cmp jz], 5
[jz mov nop], 1
[mov nop xor], 1
[nop xor lea], 1
[call mov cmp], 3
[mov nop mov], 2
[nop mov and], 1
[mov and cmp], 4
[and cmp jnz], 4
[jnz mov movzx], 1
[mov movzx cmp], 1
[movzx cmp jnz], 2
[jz cmp jnz], 2
[cmp jnz cmp], 6
[jnz cmp jnz], 3
[jnz cmp jz], 3
[lea lea mov], 5
[call movsd movups], 1
[movsd movups movsd], 1
[movups movsd cmp], 1
[movsd cmp jnz], 1
[lea call jmp], 5
[call jmp movq], 1
[jmp movq mov], 1
[call test jnz], 11
[test jnz test], 1
[call jmp mov], 5
[jmp mov lea], 6
[test jz xor], 1
[jz xor mov], 1
[test jz nop], 1
[jz nop mov], 1
[test jz inc], 1
[jz inc add], 1
[inc add cmp], 1
[add cmp jb], 4
[cmp jb jmp], 1
[jb jmp mov], 1
[movups mov movsd], 1
[mov movsd movsd], 2
[movsd movsd cmp], 2
[movsd cmp movups], 2
[cmp movups jz], 1
[movups jz xor], 1
[jz xor lea], 1
[mov lea inc], 1
[lea inc cmp], 2
[lea xor add], 1
[xor add xor], 1
[add xor mov], 2
[lea call test], 4
[lea imul mov], 7
[imul mov neg], 1
[mov neg add], 1
[neg add test], 1
[add test jz], 1
[jz mov test], 4
[mov call dec], 2
[call dec add], 2
[dec add jmp], 2
[add jmp test], 1
[jmp test jz], 1
[xor call lea], 2
[lea mov movaps], 1
[movaps mov pop], 2
[mov movups xchg], 1
[movups xchg mov], 1
[call test jns], 3
[test jns mov], 3
[jns mov lea], 3
[call xor xorps], 2
[xor xorps mov], 2
[xorps mov xorps], 1
[mov xorps jmp], 1
[xorps jmp mov], 1
[call movsd movsd], 1
[cmp movups movups], 1
[movups movups movsd], 1
[movups movsd jbe], 1
[movsd jbe mov], 1
[jbe mov lea], 1
[mov movq call], 1
[movq call mov], 1
[cmp jb movaps], 1
[jb movaps mov], 1
[movaps mov movaps], 1
[mov movaps mov], 2
[lea sub xor], 1
[sub xor movaps], 1
[xor movaps mov], 1
[movaps mov lea], 1
[movups mov movaps], 1
[mov movaps call], 1
[movaps call movups], 1
[movups mov call], 2
[mov psrldq movdqa], 1
[psrldq movdqa movq], 1
[lea imul add], 1
[lea call movq], 1
[call movq lea], 1
[movq lea cmp], 1
[movq mov call], 5
[movq movups lea], 2
[call movdqa movdqa], 1
[movdqa movdqa psrldq], 1
[psrldq movq psrldq], 1
[movq movq jmp], 1
[jmp mov movups], 3
[mov movups dec], 2
[movups dec lea], 3
[dec lea imul], 5
[imul mov add], 6
[mov add call], 6
[movups movups movdqa], 8
[psrldq movq movdqa], 4
[movq movdqa dec], 2
[movdqa dec psrldq], 2
[dec psrldq movq], 2
[psrldq movq imul], 6
[movq imul add], 6
[add call lea], 1
[call lea lea], 1
[lea lea movups], 1
[movups call xorps], 1
[call xorps movaps], 1
[xorps movaps mov], 1
[nop mov lea], 1
[lea call add], 3
[call add sub], 2
[add sub jnz], 1
[sub jnz movaps], 1
[jnz movaps movdqa], 1
[movaps movdqa call], 1
[movdqa call lea], 1
[mov imul neg], 1
[imul neg add], 1
[neg add add], 1
[add add xor], 1
[add xor nop], 1
[xor nop test], 1
[nop test jz], 1
[add jmp mov], 1
[jmp mov test], 3
[jz call test], 1
[push sub mov], 2
[mov nop nop], 1
[nop nop movzx], 1
[nop movzx movzx], 1
[movzx movzx cmp], 1
[cmp jz lea], 4
[jz lea mov], 2
[test jz lea], 2
[test jnz imul], 1
[jnz imul mov], 1
[imul mov mov], 1
[lea call movups], 1
[lea mov movdqa], 1
[mov movdqa movq], 1
[movups movups lea], 1
[call add cmp], 3
[cmp jb movups], 1
[jb movups xor], 1
[movups xor mov], 1
[xor mov movups], 1
[movups movq psrldq], 2
[psrldq movq dec], 2
[movq dec lea], 3
[lea xor xor], 1
[mov test js], 1
[cmp jnz add], 1
[jnz add lea], 1
[add lea mov], 1
[mov call jmp], 4
[call jmp lea], 2
[call lea inc], 1
[lea mov test], 1
[jnz lea jmp], 1
[lea jmp mov], 3
[call cmp jz], 4
[jz lea call], 3
[jnz mov xor], 1
[jnz mov xorps], 1
[mov mov shr], 2
[mov shr and], 2
[shr and or], 1
[and or cvtsi2sd], 1
[add mov mov], 1
[mov movaps lea], 1
[movaps lea movups], 1
[lea movups mov], 1
[movaps mov movups], 1
[movups call cmp], 1
[movups movq call], 1
[movq call test], 1
[call movdqa psrldq], 2
[dec lea movdqa], 1
[lea movdqa movq], 1
[movups movaps mov], 1
[movaps mov add], 1
[push lea mov], 1
[mov call sub], 1
[call sub mov], 1
[movaps movaps call], 1
[movaps call mov], 1
[xorps mov movups], 1
[mov movups jmp], 1
[movups jmp lea], 1
[jmp lea mov], 3
[lea mov nop], 1
[call mov movups], 1
[movups movsd movq], 1
[movsd movq mov], 1
[movsd mov movzx], 1
[mov movzx test], 2
[movzx test jz], 1
[cmp jz add], 2
[jz add jmp], 1
[add jmp lea], 1
[lea mov movzx], 1
[movzx test jnz], 2
[test jnz inc], 1
[jnz inc cmp], 1
[call movsd lea], 1
[movsd lea mov], 1
[lea mov movsd], 1
[movsd mov movups], 1
[movups call movzx], 1
[call movzx mov], 1
[movzx mov mov], 1
[movq jmp inc], 1
[jmp inc lea], 1
[inc lea mov], 1
[call add mov], 1
[add mov inc], 1
[mov inc movzx], 1
[inc movzx test], 1
[lea xor cmp], 1
[xor cmp mov], 1
[cmp mov mov], 1
[mov mov jnz], 1
[mov jnz mov], 1
[movdqa psrldq psrldq], 1
