[call lea pop], 1
[lea pop lfence], 1
[pop lfence jmp], 30
[mov mov mov], 107
[mov mov push], 23
[mov push mov], 9
[push mov call], 15
[mov call sub], 25
[call sub call], 17
[sub call lea], 2
[call lea call], 7
[lea call mov], 48
[call mov lfence], 117
[mov lfence mov], 184
[lfence mov lfence], 108
[lfence mov mov], 75
[mov mov lfence], 130
[mov lfence call], 156
[lfence call test], 31
[call test mov], 2
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop lfence], 25
[pop lfence pop], 89
[lfence pop lfence], 89
[mov lfence xor], 40
[lfence xor mov], 32
[xor mov lfence], 21
[lfence call add], 2
[call add pop], 6
[mov push push], 16
[push push push], 51
[push push mov], 7
[sub call mov], 12
[mov lfence lea], 63
[lfence lea mov], 34
[lea mov mov], 24
[lfence call mov], 92
[call mov call], 3
[mov call xor], 6
[call xor mov], 10
[xor mov mov], 24
[lfence lea xor], 6
[lea xor lea], 2
[xor lea mov], 15
[lea mov xor], 9
[mov xor xor], 2
[xor xor mov], 3
[call test js], 1
[test js mov], 1
[js mov mov], 1
[lfence mov xchg], 1
[mov xchg cmp], 1
[xchg cmp lfence], 1
[cmp lfence lea], 7
[lfence lea jnz], 6
[lea jnz mov], 2
[jnz mov lfence], 17
[mov mov call], 19
[mov call mov], 36
[call mov mov], 18
[mov lfence add], 10
[lfence add pop], 9
[lfence jmp lea], 2
[jmp lea call], 4
[lea call add], 5
[call mov test], 40
[mov test jnz], 39
[test jnz lea], 48
[jnz lea add], 4
[lea add pop], 1
[lfence jmp mov], 3
[jmp mov lfence], 18
[xor mov xor], 8
[mov xor mov], 20
[mov mov xor], 6
[lfence mov lea], 9
[mov lea mov], 62
[mov lfence test], 21
[lfence test jz], 19
[test jz test], 2
[jz test jnz], 1
[test jnz mov], 10
[jnz mov mov], 10
[call mov lea], 19
[mov lea call], 32
[lea call lea], 20
[call lea mov], 14
[mov push lea], 2
[push lea mov], 10
[lea mov call], 54
[call sub mov], 6
[sub mov lfence], 6
[xor mov call], 12
[lea xor mov], 4
[call xor lea], 5
[mov call lea], 15
[lea call xor], 8
[call mov nop], 1
[mov nop cmp], 3
[nop cmp lfence], 4
[lea jnz lea], 4
[jnz lea mov], 4
[mov mov lea], 21
[lea call xorps], 2
[call xorps movups], 1
[xorps movups movups], 1
[movups movups movups], 12
[movups movups mov], 6
[movups mov lfence], 25
[lfence call lea], 5
[lea mov nop], 1
[lea add lea], 1
[add lea lea], 1
[lea lea call], 8
[mov xor lea], 4
[xor lea lea], 2
[lea lea mov], 5
[lea mov lea], 14
[lea mov lfence], 39
[lfence lea lfence], 5
[lea lfence call], 6
[mov lea lfence], 1
[lfence call cmp], 11
[call cmp jnz], 3
[cmp jnz lea], 4
[jnz lea call], 48
[lfence xor call], 7
[xor call lea], 3
[lfence mov pop], 5
[mov pop lfence], 5
[push push lea], 9
[sub call xor], 3
[lea mov movups], 11
[mov movups lfence], 25
[movups lfence mov], 47
[lfence mov movups], 10
[mov movups movups], 18
[movups movups lfence], 24
[movups lfence movups], 98
[lfence movups mov], 16
[mov mov test], 6
[call lea movups], 14
[lea movups lfence], 15
[lfence movups lfence], 62
[mov lfence movups], 22
[lfence movups psrldq], 3
[movups psrldq movq], 9
[psrldq movq movups], 9
[movq movups psrldq], 4
[psrldq movq mov], 7
[movq mov lea], 6
[mov lea imul], 5
[lea imul movups], 3
[imul movups add], 3
[movups add call], 3
[add call mov], 16
[lfence lea cmp], 3
[lea cmp jnz], 14
[cmp jnz mov], 26
[jnz mov lea], 15
[mov call imul], 13
[call imul movups], 15
[imul movups lfence], 15
[lfence mov movq], 15
[mov movq mov], 16
[movq mov movups], 9
[movups movups call], 11
[movups call test], 9
[call test jz], 28
[test jz mov], 61
[jz mov mov], 32
[lfence call movups], 11
[call movups lfence], 22
[movups lfence movdqa], 7
[lfence movdqa movq], 7
[movdqa movq movups], 4
[movq movups lfence], 8
[movups lfence psrldq], 5
[lfence psrldq movq], 8
[psrldq movq movq], 15
[movq movq movdqa], 12
[movq movdqa psrldq], 12
[movdqa psrldq movq], 14
[psrldq movq lea], 10
[movq lea mov], 10
[lea mov imul], 15
[mov imul lea], 13
[imul lea add], 13
[lea add call], 13
[call lea cmp], 10
[add call xor], 2
[mov mov movups], 15
[mov movups mov], 12
[movups mov movups], 7
[lea call nop], 5
[call nop mov], 4
[nop mov lfence], 9
[add call movups], 5
[lea mov movq], 1
[mov movq movups], 1
[call nop nop], 2
[nop nop mov], 4
[mov lfence psrldq], 5
[mov mov movq], 1
[mov test jz], 16
[test jz cmp], 3
[jz cmp ja], 1
[cmp ja mov], 2
[ja mov jmp], 1
[mov jmp xorps], 1
[jmp xorps test], 1
[xorps test js], 1
[test js cvtsi2sd], 1
[js cvtsi2sd jmp], 1
[cvtsi2sd jmp mov], 1
[jmp mov and], 1
[mov and shr], 1
[and shr or], 1
[shr or cvtsi2sd], 1
[or cvtsi2sd addsd], 1
[cvtsi2sd addsd call], 1
[addsd call call], 1
[call call movaps], 2
[call movaps movsd], 2
[movaps movsd lfence], 2
[movsd lfence call], 3
[lfence call movsd], 3
[call movsd lfence], 4
[movsd lfence xor], 3
[lfence xor comisd], 2
[xor comisd jb], 1
[comisd jb subsd], 1
[jb subsd comisd], 2
[subsd comisd jnb], 2
[comisd jnb mov], 2
[jnb mov mov], 2
[mov mov cvttsd2si], 2
[mov cvttsd2si add], 2
[cvttsd2si add mov], 1
[add mov imul], 1
[mov imul mov], 1
[imul mov mov], 1
[call mov xor], 5
[call mov add], 4
[mov add pop], 11
[lea cmp lfence], 2
[cmp lfence jnz], 13
[lfence jnz mov], 8
[mov lfence imul], 2
[lfence imul lfence], 1
[imul lfence movups], 2
[mov lfence movq], 6
[lfence movq movups], 3
[movq movups movups], 1
[movups call mov], 1
[jz mov lfence], 25
[lfence movups movups], 24
[movups movups jmp], 1
[movups jmp mov], 1
[jmp mov mov], 5
[mov lfence dec], 1
[lfence dec mov], 1
[dec mov lfence], 1
[lfence imul add], 1
[imul add mov], 1
[add mov call], 2
[mov lfence nop], 4
[lfence nop inc], 2
[nop inc cmp], 7
[inc cmp lfence], 8
[mov lea inc], 1
[lea inc mov], 1
[inc mov call], 1
[mov call movups], 4
[movups movups lea], 1
[movups lea test], 1
[lea test jz], 1
[mov lfence movzx], 2
[lfence movzx lfence], 2
[movzx lfence mov], 1
[lfence mov inc], 5
[mov inc lfence], 3
[inc lfence add], 1
[lfence add lea], 1
[add lea mov], 1
[lea mov inc], 1
[mov inc call], 1
[inc call mov], 1
[lfence add movups], 1
[add movups lfence], 2
[lfence mov call], 2
[mov call nop], 2
[call nop cmp], 1
[lfence mov dec], 1
[mov dec imul], 1
[dec imul lfence], 1
[imul lfence mov], 2
[jz mov lea], 10
[mov lea xor], 2
[lfence movups movsd], 14
[movups movsd lfence], 15
[movsd lfence mov], 8
[mov lfence movsd], 8
[lfence movsd test], 1
[movsd test jnz], 1
[mov mov jmp], 2
[mov jmp mov], 4
[lfence jmp add], 1
[jmp add pop], 1
[lfence test jnz], 2
[test jnz xor], 3
[jnz xor add], 1
[xor add pop], 2
[lfence mov xor], 2
[xor mov test], 3
[jz mov jmp], 1
[lfence mov add], 1
[jz test jz], 1
[lfence mov movsd], 1
[mov movsd nop], 1
[movsd nop inc], 1
[lfence jnz test], 1
[jnz test jz], 3
[test jz movzx], 2
[jz movzx lfence], 1
[movzx lfence cmp], 2
[lfence cmp jz], 2
[cmp jz cmp], 3
[jz cmp jz], 3
[cmp jz mov], 10
[nop nop inc], 1
[lfence jnz xor], 1
[jnz xor mov], 1
[test jz nop], 1
[jz nop movzx], 1
[nop movzx lfence], 1
[movzx lfence lea], 1
[mov lfence inc], 2
[lfence inc mov], 2
[inc mov lfence], 2
[inc lfence cmp], 1
[lfence cmp jb], 1
[cmp jb lea], 1
[jb lea mov], 1
[inc lfence mov], 1
[mov lfence xorps], 2
[lfence xorps xor], 1
[xorps xor movups], 1
[xor movups movups], 1
[movups mov add], 1
[call sub movaps], 2
