[mov mov mov], 218
[mov mov push], 11
[mov push push], 14
[push push push], 53
[push push sub], 6
[push sub mov], 9
[sub mov lea], 3
[mov lea mov], 109
[lea mov call], 73
[mov call xor], 11
[call xor mov], 8
[xor mov mov], 53
[mov mov call], 95
[mov call add], 2
[call add pop], 5
[add pop pop], 13
[pop pop pop], 53
[pop pop retn], 17
[mov call mov], 93
[call mov call], 4
[mov push sub], 9
[lea mov xor], 16
[mov xor mov], 49
[xor mov lea], 2
[mov lea xor], 3
[lea xor xor], 1
[xor xor mov], 2
[xor mov call], 5
[mov call test], 38
[call test js], 1
[test js mov], 1
[js mov mov], 1
[mov mov cmp], 8
[mov cmp lea], 4
[cmp lea jnz], 9
[lea jnz lea], 8
[jnz lea mov], 10
[lea mov mov], 56
[call mov mov], 72
[mov mov add], 10
[mov add pop], 19
[add pop retn], 12
[pop retn lea], 1
[retn lea call], 1
[lea call mov], 66
[call mov add], 7
[sub mov mov], 7
[call mov test], 48
[mov test jnz], 41
[test jnz lea], 68
[lea mov add], 2
[add pop jmp], 1
[pop jmp mov], 1
[jmp mov xor], 2
[xor mov xor], 6
[mov mov xor], 19
[mov test jz], 24
[test jz test], 1
[jz test jnz], 1
[test jnz mov], 11
[jnz mov call], 6
[call mov lea], 51
[mov lea call], 50
[lea call lea], 23
[call lea mov], 20
[mov mov lea], 67
[mov push lea], 2
[push lea sub], 11
[lea sub mov], 7
[sub mov xor], 9
[mov xor lea], 17
[xor lea mov], 36
[call xor lea], 12
[mov call lea], 20
[call lea call], 4
[lea call xor], 8
[call mov nop], 1
[mov nop cmp], 2
[nop cmp lea], 4
[lea call xorps], 3
[call xorps movups], 2
[xorps movups movups], 2
[movups movups movups], 61
[movups movups call], 33
[movups call lea], 3
[lea mov cmp], 1
[jnz lea add], 4
[lea add lea], 1
[add lea lea], 1
[lea lea call], 10
[xor lea lea], 1
[lea lea mov], 7
[lea mov lea], 28
[call mov xor], 19
[lea call cmp], 2
[call cmp jnz], 3
[cmp jnz lea], 11
[jnz lea call], 60
[mov xor call], 16
[xor call lea], 4
[mov mov pop], 4
[mov pop retn], 2
[mov mov nop], 5
[mov nop inc], 4
[nop inc cmp], 11
[inc cmp jnz], 16
[cmp jnz add], 6
[jnz add mov], 6
[add mov xor], 7
[xor call test], 4
[call test jnz], 36
[lea add jmp], 1
[add jmp add], 1
[jmp add retn], 1
[push push lea], 10
[lea sub xor], 2
[sub xor mov], 5
[lea mov movups], 10
[mov movups mov], 20
[movups mov movups], 20
[mov movups movups], 42
[movups call mov], 13
[mov mov test], 13
[call lea movups], 14
[lea movups movups], 15
[movups movups mov], 37
[mov movups psrldq], 6
[movups psrldq movq], 23
[psrldq movq movups], 13
[movq movups psrldq], 11
[psrldq movq mov], 6
[movq mov lea], 4
[mov lea imul], 3
[lea imul movups], 3
[imul movups add], 3
[movups add call], 3
[add call mov], 18
[mov lea cmp], 8
[lea cmp jnz], 20
[cmp jnz mov], 35
[jnz mov lea], 25
[mov call imul], 15
[call imul movups], 18
[imul movups movups], 20
[movups mov movq], 22
[mov movq mov], 21
[movq mov movups], 19
[movups call test], 20
[call test jz], 36
[test jz mov], 48
[jz mov call], 33
[mov call movups], 20
[call movups movdqa], 4
[movups movdqa movq], 21
[movdqa movq movups], 4
[psrldq movq movq], 14
[movq movq movdqa], 14
[movq movdqa psrldq], 14
[movdqa psrldq movq], 14
[psrldq movq lea], 17
[movq lea mov], 13
[lea mov imul], 14
[mov imul lea], 14
[imul lea add], 14
[lea add call], 14
[call lea cmp], 13
[jnz lea nop], 6
[lea nop call], 7
[nop call lea], 2
[add call xor], 1
[movups mov mov], 12
[mov mov movups], 18
[mov movups call], 3
[lea call nop], 8
[call nop nop], 2
[nop nop mov], 2
[nop mov mov], 9
[add call movups], 9
[call movups mov], 6
[movups mov lea], 8
[lea mov movq], 1
[mov movq movups], 5
[movq movups mov], 3
[nop call nop], 1
[call nop mov], 2
[movups mov psrldq], 1
[mov psrldq movq], 2
[mov mov movq], 2
[movq mov mov], 5
[push sub xor], 5
[test jz cmp], 2
[jz cmp ja], 2
[cmp ja mov], 3
[ja mov jmp], 2
[mov jmp xorps], 2
[jmp xorps test], 2
[xorps test js], 3
[test js cvtsi2sd], 3
[js cvtsi2sd jmp], 3
[cvtsi2sd jmp mov], 3
[jmp mov and], 2
[mov and shr], 2
[and shr or], 2
[shr or cvtsi2sd], 2
[or cvtsi2sd addsd], 3
[cvtsi2sd addsd call], 2
[addsd call call], 2
[call call movaps], 3
[call movaps movsd], 3
