[lea pop lfence], 1
[pop lfence jmp], 23
[mov mov push], 10
[mov push push], 9
[push push push], 38
[push push mov], 5
[push mov call], 12
[mov call sub], 21
[call sub mov], 13
[sub mov lea], 3
[mov lea mov], 72
[lea mov mov], 26
[mov mov call], 10
[mov call mov], 22
[call mov mov], 27
[mov mov mov], 100
[mov mov lfence], 151
[mov lfence mov], 170
[lfence mov lfence], 82
[mov lfence call], 170
[lfence call test], 27
[call test mov], 1
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop lfence], 19
[pop lfence pop], 70
[lfence pop lfence], 70
[lea mov call], 49
[mov call xor], 7
[call xor mov], 6
[xor mov mov], 26
[lfence call add], 3
[call add pop], 5
[lfence call mov], 93
[call mov call], 3
[mov push mov], 7
[sub mov lfence], 8
[mov lfence lea], 33
[lfence lea mov], 18
[lea mov xor], 7
[mov xor mov], 22
[xor mov lea], 3
[mov lea xor], 4
[lea xor xor], 1
[xor xor mov], 4
[xor mov lfence], 20
[call test js], 3
[test js mov], 4
[js mov mov], 1
[mov lfence cmp], 2
[lfence cmp lfence], 1
[cmp lfence lea], 4
[lfence lea jnz], 3
[lea jnz lea], 3
[jnz lea mov], 8
[call mov lfence], 94
[mov lfence add], 10
[lfence add pop], 10
[lfence jmp lea], 1
[jmp lea call], 1
[lea call mov], 54
[lfence mov mov], 86
[call mov test], 42
[mov test jnz], 47
[test jnz lea], 59
[lea mov lfence], 24
[lfence jmp mov], 3
[jmp mov lfence], 6
[mov lfence xor], 25
[lfence xor mov], 20
[xor mov xor], 5
[mov mov xor], 6
[mov lfence test], 14
[lfence test jz], 13
[test jz test], 1
[jz test jnz], 1
[test jnz mov], 10
[jnz mov mov], 15
[call mov lea], 32
[mov lea call], 37
[lea call lea], 15
[call lea mov], 12
[mov mov lea], 26
[mov push lea], 2
[push lea mov], 8
[mov xor lea], 5
[xor lea mov], 15
[call xor lea], 4
[mov call lea], 15
[call lea call], 3
[lea call xor], 3
[mov call movups], 2
[call movups lfence], 29
[movups lfence mov], 44
[lfence mov movaps], 2
[mov movaps xorps], 1
[movaps xorps movups], 1
[xorps movups movups], 2
[movups movups movups], 9
[movups movups mov], 3
[movups mov lfence], 25
[lfence call lea], 4
[lea mov cmp], 1
[mov cmp lfence], 2
[jnz lea lea], 1
[lea lea lea], 3
[lea lea call], 4
[lea mov lea], 20
[lfence mov lea], 8
[lfence call nop], 6
[call nop cmp], 1
[nop cmp jnz], 1
[cmp jnz lea], 2
[jnz lea call], 45
[lfence xor call], 4
[xor call lea], 2
[lfence mov pop], 4
[mov pop lfence], 4
[lfence mov nop], 2
[mov nop inc], 3
[nop inc cmp], 7
[inc cmp lfence], 11
[cmp lfence jnz], 11
[lfence jnz add], 2
[jnz add mov], 2
[add mov xor], 2
[call test jnz], 18
[jnz lea add], 1
[lea add jmp], 1
[add jmp add], 1
[jmp add pop], 1
[push push lea], 7
[call sub xor], 7
[sub xor mov], 7
[lea mov movups], 12
[mov movups lfence], 22
[lfence mov movups], 7
[mov movups movups], 26
[movups movups lfence], 23
[movups lfence movups], 97
[lfence movups mov], 18
[mov mov test], 11
[call lea movups], 14
[lea movups lfence], 17
[lfence movups lfence], 50
[mov lfence movups], 8
[lfence movups psrldq], 6
[movups psrldq movq], 16
[psrldq movq movups], 13
[movq movups psrldq], 7
[psrldq movq mov], 6
[movq mov lea], 5
[mov lea imul], 5
[lea imul movups], 4
[imul movups add], 4
[movups add call], 4
[add call mov], 21
[jnz lea nop], 9
[lea nop call], 9
[nop call mov], 4
[lfence lea cmp], 5
[lea cmp jnz], 18
[cmp jnz mov], 24
[jnz mov lea], 13
[mov call imul], 13
[call imul movups], 18
[imul movups lfence], 18
[lfence mov movq], 19
[mov movq mov], 20
[movq mov movups], 15
[movups movups call], 17
[movups call test], 14
[call test jz], 27
[test jz mov], 53
[jz mov mov], 28
[lfence call movups], 17
[movups lfence movdqa], 8
[lfence movdqa movq], 8
[movdqa movq movups], 5
[movq movups lfence], 12
[movups lfence psrldq], 8
[lfence psrldq movq], 10
[psrldq movq movq], 14
[movq movq movdqa], 13
[movq movdqa psrldq], 14
[movdqa psrldq movq], 15
[psrldq movq lea], 16
[movq lea mov], 14
[lea mov imul], 13
[mov imul lea], 13
[imul lea add], 13
[lea add call], 13
[nop call lea], 4
[call lea cmp], 11
[add call xor], 1
[mov mov movups], 11
[mov movups mov], 11
[movups mov movups], 7
[lea call nop], 5
[call nop mov], 5
[nop mov lfence], 8
[add call movups], 8
[lea mov movq], 1
[mov movq movups], 2
[mov lfence psrldq], 3
[mov mov movq], 1
[movq mov mov], 3
[mov test jz], 12
[test jz cmp], 2
[jz cmp ja], 3
[cmp ja mov], 4
[ja mov jmp], 3
[mov jmp xorps], 3
[jmp xorps test], 3
[xorps test js], 4
[test js cvtsi2sd], 4
[js cvtsi2sd jmp], 4
[cvtsi2sd jmp mov], 4
[jmp mov and], 2
[mov and shr], 2
[and shr or], 2
[shr or cvtsi2sd], 2
[or cvtsi2sd addsd], 4
[cvtsi2sd addsd call], 3
[addsd call call], 3
[call call movaps], 5
[call movaps movsd], 5
[movaps movsd lfence], 5
[movsd lfence call], 6
[lfence call movsd], 5
[call movsd lfence], 5
[movsd lfence xor], 5
[lfence xor comisd], 5
[xor comisd jb], 4
[comisd jb subsd], 4
[jb subsd comisd], 5
[subsd comisd jnb], 5
[comisd jnb mov], 5
[jnb mov mov], 5
[mov mov cvttsd2si], 5
[mov cvttsd2si add], 5
[cvttsd2si add mov], 3
[add mov imul], 1
[mov imul mov], 1
[imul mov mov], 1
[call mov xor], 7
[xor mov call], 5
[mov lea cmp], 2
[lea cmp lfence], 1
[lfence jnz mov], 5
[jnz mov lfence], 7
[mov lfence imul], 2
[lfence imul lfence], 1
[imul lfence movups], 1
