[lea pop lfence], 1
[pop lfence jmp], 40
[mov mov mov], 80
[mov mov call], 23
[mov call sub], 29
[call sub call], 1
[sub call mov], 1
[call mov lfence], 50
[mov lfence mov], 66
[lfence mov lfence], 44
[lfence mov mov], 13
[mov mov lfence], 69
[mov lfence call], 71
[lfence call test], 11
[call test mov], 1
[test mov cmovs], 1
[mov cmovs add], 1
[cmovs add pop], 1
[add pop lfence], 30
[call sub lea], 2
[sub lea call], 2
[lea call lea], 25
[call lea call], 21
[call lea add], 1
[lea add jmp], 1
[mov mov push], 19
[mov push mov], 13
[push mov call], 17
[lea call mov], 39
[mov lfence xor], 27
[lfence xor mov], 21
[xor mov lfence], 11
[lfence call add], 2
[call add pop], 5
[pop lfence pop], 53
[lfence pop lfence], 58
[mov push push], 7
[push push push], 14
[push push lea], 2
[push lea mov], 6
[lea mov call], 38
[call sub mov], 23
[sub mov lfence], 19
[xor mov mov], 28
[mov lfence lea], 32
[lfence lea mov], 16
[lea mov lfence], 17
[lfence mov call], 6
[mov call xor], 7
[call xor lea], 14
[xor lea xor], 2
[lea xor mov], 8
[xor mov call], 7
[mov call lea], 17
[call lea xor], 7
[lea xor xor], 8
[xor xor lea], 1
[xor lea mov], 15
[call test js], 1
[test js mov], 1
[js mov lfence], 1
[lfence call mov], 30
[lfence lea lea], 3
[lea lea mov], 10
[call xor mov], 12
[xor mov lea], 4
[mov lea call], 35
[lfence call jmp], 3
[call jmp lea], 3
[jmp lea call], 3
[lea call xor], 17
[mov call mov], 43
[call mov call], 9
[call mov lea], 33
[mov lea mov], 31
[lea mov lea], 18
[mov call xorps], 3
[call xorps movups], 1
[xorps movups movups], 1
[movups movups movups], 25
[movups movups mov], 4
[movups mov lfence], 4
[lfence call lea], 6
[call lea mov], 23
[lea mov mov], 23
[mov mov lea], 10
[lea mov add], 2
[mov add lea], 1
[add lea lea], 1
[lea lea call], 6
[call lea shr], 1
[lea shr mov], 1
[shr mov mov], 1
[lfence xor call], 4
[xor call mov], 4
[mov lfence add], 12
[lfence add pop], 11
[sub mov lea], 4
[mov lea lea], 19
[lea lea lea], 10
[lea lea movups], 9
[lea movups lfence], 15
[movups lfence movups], 66
[lfence movups movups], 31
[movups movups lfence], 28
[lfence movups call], 9
[movups call mov], 6
[movups call movups], 1
[call movups lfence], 11
[lfence movups add], 1
[movups add pop], 1
[lfence lea xor], 2
[lea mov xor], 5
[mov xor mov], 8
[lfence call cmp], 2
[call cmp jnz], 1
[cmp jnz lea], 4
[jnz lea call], 10
[call mov mov], 20
[xor call add], 2
[call mov test], 8
[mov test jnz], 5
[test jnz lea], 11
[jnz lea add], 2
[lea add pop], 2
[lfence jmp mov], 10
[jmp mov lea], 2
[mov lea xor], 5
[xor xor mov], 8
[call mov xor], 5
[mov mov xor], 3
[mov lfence test], 10
[lfence test jz], 5
[test jz xchg], 1
[jz xchg test], 1
[xchg test jnz], 1
[test jnz mov], 6
[jnz mov mov], 7
[push push mov], 5
[mov call add], 1
[lfence mov lea], 1
[mov lea lfence], 2
[lea lfence call], 2
[call test jnz], 7
[lfence jmp add], 2
[jmp add pop], 2
[mov lfence imul], 2
[lfence imul lfence], 1
[imul lfence add], 2
[lfence add lfence], 2
[add lfence pop], 2
[mov lfence dec], 3
[lfence dec imul], 2
[dec imul lfence], 1
[mov mov test], 4
[mov test jz], 12
[test jz cmp], 2
[jz cmp ja], 2
[cmp ja mov], 3
